,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
PSMD5,5.57631894448635e-17,-0.267199023698891,0.015,0.214,9.58903805693873e-13,PSMD5
N4BP2,5.61711085188254e-17,0.309442574537514,0.119,0.152,9.65918382089722e-13,N4BP2
NEK9,5.64434958326428e-17,0.407807412515268,0.082,0.106,9.70602354338125e-13,NEK9
PES1,5.66179666464374e-17,-0.099206330672071,0.09,0.273,9.73602554452137e-13,PES1
DYNLT1B,5.70198044118922e-17,-0.494566699646821,0.037,0.303,9.80512556666899e-13,DYNLT1B
MYO1C,5.76964198883552e-17,0.304068246152795,0.112,0.197,9.92147636400157e-13,MYO1C
HJURP,5.84766203949276e-17,0.641155591826272,0.157,0.137,1.00556396431118e-12,HJURP
PIBF1,5.87646551589396e-17,0.60184040402535,0.119,0.085,1.01051701011313e-12,PIBF1
PLAGL1,5.89295368569213e-17,0.910212238194516,0.104,0.056,1.01335231579162e-12,PLAGL1
SOD1,5.89462342337409e-17,0.110761079450347,0.104,0.231,1.01363944388341e-12,SOD1
ATAD1,5.96682650684669e-17,0.267598957197869,0.097,0.15,1.02605548611736e-12,ATAD1
2900052N01RIK,6.01252109893047e-17,0.191409778324139,0.097,0.226,1.03391312817208e-12,2900052N01RIK
MTMR4,6.14595540644004e-17,-0.15284723095956,0.09,0.296,1.05685849169143e-12,MTMR4
ISYNA1,6.22305809966943e-17,-0.360831731271367,0.045,0.287,1.07011707081915e-12,ISYNA1
