p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000304641421274694,-0.332484119271212,0.162,0.274,1,1,ABCB1B
0.000306259289782486,-0.615177585471875,0.65,0.677,1,1,GEM
0.000306396062994428,0.159999430939777,0.402,0.28,1,1,TMEM9B
0.000306796182391504,0.139978509127464,0.143,0.065,1,1,TCF7L2
0.000308250110186076,0.1088383792864,0.549,0.429,1,1,UFC1
0.000308495645637562,-0.20352490193516,0.891,0.883,1,1,TPM3
0.000308850075731999,-0.305094607391166,0.173,0.279,1,1,RINL
0.000309878164656971,0.157542186565986,0.226,0.126,1,1,THAP7
0.000310211436975068,0.221677737372979,0.293,0.181,1,1,ZFP472
0.000312250658940352,0.0426914606311709,0.158,0.096,1,1,ANKRA2
0.000314495715251784,-0.264767299756511,0.143,0.223,1,1,ELMO2
0.000314762188307203,-0.102528621345799,0.534,0.491,1,1,COA3
0.00031489631120155,0.0994565463990742,0.173,0.094,1,1,AGO3
0.000315559077136488,-0.20427894004507,1,0.996,1,1,H3F3B
0.00031776571478643,-0.195114141616286,0.511,0.521,1,1,HNRNPC
0.000318179451333593,-0.207755847900001,0.064,0.137,1,1,PTPRE
0.000319744434931453,-0.222100654648837,0.109,0.171,1,1,PWP1
0.000319753608870496,-0.148422785000537,0.545,0.53,1,1,DNAJA2
0.000321432204495839,-0.223556260470319,0.778,0.8,1,1,EIF3C
0.000321614441255152,0.172163918550858,0.211,0.114,1,1,LRRCC1
0.000321750826737396,-0.260123410090196,0.263,0.348,1,1,ELMO1
0.000323015166190334,-0.0469870040204038,0.346,0.297,1,1,CCNDBP1
0.000324040076780017,0.249412071877836,0.169,0.089,1,1,TEX30
0.000324351551184757,-0.180514073066257,0.038,0.106,1,1,TRP53I13
0.000324637894423365,0.080786288270582,0.455,0.354,1,1,ACBD6
0.000325590643717547,0.160253144421069,0.316,0.205,1,1,ISG15
0.000326997040597044,-0.280819615023904,0.252,0.349,1,1,UBA2
0.000328130889986989,0.200932602567206,0.857,0.76,1,1,RAC1
0.000329858037814467,0.142681774089755,0.417,0.3,1,1,NUAK2
0.000330296314125213,0.0976542410405102,0.214,0.134,1,1,ARHGEF3
0.000330772976855576,-0.237788982440358,0.301,0.368,1,1,QDPR
0.000332033319640549,-0.244758464902659,0.162,0.24,1,1,MBD3
0.000335987420575487,0.0174524172712376,0.177,0.116,1,1,SLC25A25
0.000336663427307003,-0.233870555159303,0.064,0.122,1,1,GM45716
0.00033749604216261,-0.152341160046617,0.677,0.662,1,1,OST4
0.000337801605886663,0.145280874993684,0.113,0.044,1,1,IDUA
0.000338236398790228,0.0747174814255658,0.308,0.215,1,1,MRPL9
0.000339659335553417,-0.0457610928760646,0.737,0.665,1,1,NDUFB5
0.00034051962319567,-0.202170018602895,0.064,0.143,1,1,SSBP4
0.000341543045517969,-0.24686170601821,0.105,0.182,1,1,NSMAF
